Year,Month,Dom_Pax,Int_Pax,Pax,Dom_Flt,Int_Flt,Flt,Dom_RPM,Int_RPM,RPM,Dom_ASM,Int_ASM,ASM,Dom_LF,Int_LF,LF
2005,5,"5,73,23,876","65,75,254","6,38,99,130","8,72,961","68,225","9,41,186","4,90,16,422","1,73,94,296","6,64,10,718","6,31,60,148","2,19,43,039","8,51,03,187",77.61,79.27,78.04
2005,6,"5,97,24,061","71,23,126","6,68,47,187","8,63,422","69,814","9,33,236","5,21,81,786","1,87,50,411","7,09,32,197","6,33,78,463","2,23,73,102","8,57,51,565",82.33,83.81,82.72
2005,7,"6,23,96,446","78,67,346","7,02,63,792","8,87,084","74,818","9,61,902","5,52,90,372","2,00,37,449","7,53,27,821","6,58,13,398","2,37,92,009","8,96,05,407",84.01,84.22,84.07
2005,8,"5,91,10,633","74,19,187","6,65,29,820","8,90,938","73,164","9,64,102","5,25,10,003","1,92,05,090","7,17,15,093","6,53,09,256","2,34,18,626","8,87,27,882",80.4,82.01,80.83
2005,9,"5,06,00,325","59,33,841","5,65,34,166","8,14,935","61,812","8,76,747","4,35,24,915","1,66,31,990","6,01,56,904","5,86,74,828","2,14,25,051","8,00,99,879",74.18,77.63,75.1
2005,10,"5,37,38,093","58,73,755","5,96,11,848","8,31,265","61,017","8,92,282","4,58,95,538","1,60,89,364","6,19,84,902","6,03,92,331","2,10,33,727","8,14,26,057",76,76.49,76.12
2005,11,"5,27,66,404","56,44,497","5,84,10,901","7,97,460","59,265","8,56,725","4,51,09,831","1,47,71,787","5,98,81,618","5,88,86,853","1,94,01,869","7,82,88,722",76.6,76.14,76.49
2005,12,"5,28,01,276","63,95,022","5,91,96,298","8,02,067","65,240","8,67,307","4,61,90,194","1,63,39,078","6,25,29,273","6,08,89,086","2,11,53,995","8,20,43,081",75.86,77.24,76.22
2006,1,"4,88,86,043","64,02,933","5,52,88,976","7,85,364","66,236","8,51,600","4,29,66,268","1,61,57,877","5,91,24,144","5,90,96,204","2,13,96,430","8,04,92,634",72.71,75.52,73.45
2006,2,"4,73,48,142","57,06,909","5,30,55,051","7,15,843","60,661","7,76,504","4,09,27,215","1,39,13,445","5,48,40,660","5,37,33,108","1,92,41,787","7,29,74,894",76.17,72.31,75.15
2006,3,"5,82,86,011","72,21,839","6,55,07,850","8,23,793","70,264","8,94,057","5,06,93,391","1,80,95,206","6,87,88,597","6,22,57,065","2,23,67,092","8,46,24,157",81.43,80.9,81.29
2006,4,"5,58,28,555","70,36,629","6,28,65,184","7,94,390","68,537","8,62,927","4,88,00,883","1,76,85,346","6,64,86,229","5,99,17,615","2,22,46,457","8,21,64,072",81.45,79.5,80.92
2006,5,"5,71,45,193","69,97,054","6,41,42,247","8,24,051","68,676","8,92,727","4,93,02,219","1,84,65,819","6,77,68,038","6,12,84,297","2,31,02,699","8,43,86,996",80.45,79.93,80.31
2006,6,"5,92,97,121","76,25,061","6,69,22,182","8,20,310","71,424","8,91,734","5,22,00,272","2,02,75,368","7,24,75,640","6,16,92,651","2,38,21,736","8,55,14,388",84.61,85.11,84.75
2006,7,"6,08,38,606","83,40,003","6,91,78,609","8,52,114","76,301","9,28,415","5,45,06,446","2,15,10,904","7,60,17,350","6,41,11,164","2,51,85,579","8,92,96,743",85.02,85.41,85.13
2006,8,"5,83,03,233","78,43,848","6,61,47,081","8,66,551","74,735","9,41,286","5,20,74,386","2,03,42,613","7,24,16,999","6,43,32,983","2,48,88,446","8,92,21,429",80.95,81.74,81.17
2006,9,"4,99,49,551","61,89,973","5,61,39,524","7,99,777","62,710","8,62,487","4,31,08,587","1,75,37,122","6,06,45,709","5,83,83,462","2,25,79,257","8,09,62,719",73.84,77.67,74.91
2006,10,"5,50,88,983","62,81,017","6,13,70,000","8,28,218","63,105","8,91,323","4,71,37,132","1,73,65,868","6,45,03,000","6,08,02,722","2,26,54,609","8,34,57,331",77.52,76.65,77.29
2006,11,"5,38,52,209","61,73,261","6,00,25,470","7,92,523","61,823","8,54,346","4,59,66,808","1,61,15,237","6,20,82,045","5,89,12,308","2,08,21,119","7,97,33,427",78.03,77.4,77.86
2006,12,"5,35,38,970","69,17,055","6,04,56,025","8,05,058","68,978","8,74,036","4,68,35,639","1,77,04,637","6,45,40,276","6,11,61,328","2,27,21,069","8,38,82,396",76.58,77.92,76.94
2007,1,"5,00,22,168","68,54,636","5,68,76,804","8,03,924","69,634","8,73,558","4,38,23,680","1,74,50,335","6,12,74,015","6,06,18,488","2,29,60,840","8,35,79,327",72.29,76,73.31
2007,2,"4,77,66,421","60,78,593","5,38,45,014","7,24,657","62,711","7,87,368","4,12,70,274","1,50,87,982","5,63,58,256","5,44,90,060","2,06,24,609","7,51,14,669",75.74,73.16,75.03
2007,3,"5,92,44,232","76,47,510","6,68,91,742","8,30,373","72,367","9,02,740","5,15,18,429","1,93,46,351","7,08,64,780","6,31,31,522","2,36,67,344","8,67,98,866",81.6,81.74,81.64
2007,4,"5,73,96,328","72,33,785","6,46,30,113","8,09,663","70,037","8,79,700","4,97,72,604","1,84,62,964","6,82,35,568","6,11,24,424","2,33,25,666","8,44,50,090",81.43,79.15,80.8
2007,5,"5,92,83,597","72,44,944","6,65,28,541","8,44,074","70,437","9,14,511","5,10,31,835","1,93,41,759","7,03,73,594","6,27,74,346","2,43,70,452","8,71,44,798",81.29,79.37,80.75
2007,6,"6,14,93,934","79,53,495","6,94,47,429","8,32,163","72,797","9,04,960","5,40,18,698","2,13,25,672","7,53,44,370","6,26,20,840","2,52,95,941","8,79,16,781",86.26,84.3,85.7
2007,7,"6,34,57,403","86,96,119","7,21,53,522","8,63,658","77,533","9,41,191","5,65,72,990","2,27,09,269","7,92,82,259","6,55,66,709","2,66,24,388","9,21,91,098",86.28,85.29,86
2007,8,"6,26,57,667","84,29,481","7,10,87,148","8,72,349","76,818","9,49,167","5,56,82,567","2,20,60,730","7,77,43,296","6,55,56,234","2,65,25,647","9,20,81,881",84.94,83.17,84.43
